,context,question,answer
0,Born September four be Associate_in_Nursing American singer songwriter record manufacturer actress Born raise inch Houston Texas perform inch assorted singing dancing competition arsenic angstrom child rose fame inch late nineties arsenic lead singer roentgen bacillus destiny child pull_off by father group become one universe best-selling girl group all time suspension proverb release introduction album perilously inch love establish arsenic angstrom solo artist worldwide gain five award have billboard hot hundred singles crazy inch love baby male_child,When did Beyonce start becoming popular?,in the late 1990s
1,Born September four be Associate_in_Nursing American singer songwriter record manufacturer actress Born raise inch Houston Texas perform inch assorted singing dancing competition arsenic angstrom child rose fame inch late nineties arsenic lead singer roentgen bacillus destiny child pull_off by father group become one universe best-selling girl group all time suspension proverb release introduction album perilously inch love establish arsenic angstrom solo artist worldwide gain five award have billboard hot hundred singles crazy inch love baby male_child,What areas did Beyonce compete in when she was growing up?,singing and dancing
2,Born September four be Associate_in_Nursing American singer songwriter record manufacturer actress Born raise inch Houston Texas perform inch assorted singing dancing competition arsenic angstrom child rose fame inch late nineties arsenic lead singer roentgen bacillus destiny child pull_off by father group become one universe best-selling girl group all time suspension proverb release introduction album perilously inch love establish arsenic angstrom solo artist worldwide gain five award have billboard hot hundred singles crazy inch love baby male_child,When did Beyonce leave Destiny's Child and become a solo singer?,2003
3,Born September four be Associate_in_Nursing American singer songwriter record manufacturer actress Born raise inch Houston Texas perform inch assorted singing dancing competition arsenic angstrom child rose fame inch late nineties arsenic lead singer roentgen bacillus destiny child pull_off by father group become one universe best-selling girl group all time suspension proverb release introduction album perilously inch love establish arsenic angstrom solo artist worldwide gain five award have billboard hot hundred singles crazy inch love baby male_child,In what city and state did Beyonce  grow up? ,"Houston, Texas"
4,Born September four be Associate_in_Nursing American singer songwriter record manufacturer actress Born raise inch Houston Texas perform inch assorted singing dancing competition arsenic angstrom child rose fame inch late nineties arsenic lead singer roentgen bacillus destiny child pull_off by father group become one universe best-selling girl group all time suspension proverb release introduction album perilously inch love establish arsenic angstrom solo artist worldwide gain five award have billboard hot hundred singles crazy inch love baby male_child,In which decade did Beyonce become famous?,late 1990s
5,Born September four be Associate_in_Nursing American singer songwriter record manufacturer actress Born raise inch Houston Texas perform inch assorted singing dancing competition arsenic angstrom child rose fame inch late nineties arsenic lead singer roentgen bacillus destiny child pull_off by father group become one universe best-selling girl group all time suspension proverb release introduction album perilously inch love establish arsenic angstrom solo artist worldwide gain five award have billboard hot hundred singles crazy inch love baby male_child,In what R&B group was she the lead singer?,Destiny's Child
6,Born September four be Associate_in_Nursing American singer songwriter record manufacturer actress Born raise inch Houston Texas perform inch assorted singing dancing competition arsenic angstrom child rose fame inch late nineties arsenic lead singer roentgen bacillus destiny child pull_off by father group become one universe best-selling girl group all time suspension proverb release introduction album perilously inch love establish arsenic angstrom solo artist worldwide gain five award have billboard hot hundred singles crazy inch love baby male_child,What album made her a worldwide known artist?,Dangerously in Love
7,Born September four be Associate_in_Nursing American singer songwriter record manufacturer actress Born raise inch Houston Texas perform inch assorted singing dancing competition arsenic angstrom child rose fame inch late nineties arsenic lead singer roentgen bacillus destiny child pull_off by father group become one universe best-selling girl group all time suspension proverb release introduction album perilously inch love establish arsenic angstrom solo artist worldwide gain five award have billboard hot hundred singles crazy inch love baby male_child,Who managed the Destiny's Child group?,Mathew Knowles
8,Born September four be Associate_in_Nursing American singer songwriter record manufacturer actress Born raise inch Houston Texas perform inch assorted singing dancing competition arsenic angstrom child rose fame inch late nineties arsenic lead singer roentgen bacillus destiny child pull_off by father group become one universe best-selling girl group all time suspension proverb release introduction album perilously inch love establish arsenic angstrom solo artist worldwide gain five award have billboard hot hundred singles crazy inch love baby male_child,When did Beyoncé rise to fame?,late 1990s
9,Born September four be Associate_in_Nursing American singer songwriter record manufacturer actress Born raise inch Houston Texas perform inch assorted singing dancing competition arsenic angstrom child rose fame inch late nineties arsenic lead singer roentgen bacillus destiny child pull_off by father group become one universe best-selling girl group all time suspension proverb release introduction album perilously inch love establish arsenic angstrom solo artist worldwide gain five award have billboard hot hundred singles crazy inch love baby male_child,What role did Beyoncé have in Destiny's Child?,lead singer
